User ID,Churn Probability,Risk Tier,Risk Rank,Days Since Last Event,Days Since Last Purchase,Total Events,Events Last 7 Days,Avg Events Per Day,Num Views,Num Add To Cart,Num Transactions,View To Cart Ratio,Cart To Purchase Ratio,Avg Time Between Events (hrs),Max Inactive Streak (days),Activity Trend (slope),Actual Churn 30d
450579,0.9637,High,1,85.05302006944444,85.05302006944444,20,0.0,0.1869158878504672,18,1,1,0.0555555555555555,1.0,0.0266451169590643,0.0,0.0,1
127274,0.9615,High,2,81.25967625,999.0,29,0.0,0.2710280373831775,28,1,0,0.0357142857142857,0.0,1.6170471825396826,0.0,0.0,1
600599,0.9612,High,3,83.33128160879629,999.0,30,0.0,0.2803738317757009,29,1,0,0.0344827586206896,0.0,0.8086212068965517,0.0,0.0,1
1373738,0.9612,High,4,90.87092541666668,90.90310476851852,20,0.0,0.1869158878504672,18,1,1,0.0555555555555555,1.0,0.0616145321637426,0.0,0.0,1
778588,0.9606,High,5,72.37302076388889,999.0,30,0.0,0.2803738317757009,29,1,0,0.0344827586206896,0.0,0.7373039176245212,0.0,0.0,1
1141070,0.9599,High,6,84.20099344907408,999.0,35,0.0,0.3271028037383177,35,0,0,0.0,0.0,0.6824037581699347,0.0,0.0,1
652820,0.9595,High,7,85.99632000000001,999.0,36,0.0,0.3364485981308411,36,0,0,0.0,0.0,0.1380236666666666,0.0,0.0,1
16332,0.9593,High,8,62.39433131944444,999.0,39,0.0,0.3644859813084112,39,0,0,0.0,0.0,0.569713048245614,0.0,0.0,1
107452,0.9593,High,9,66.75018300925926,999.0,32,0.0,0.2990654205607476,31,1,0,0.032258064516129,0.0,0.8783409229390682,0.0,0.0,1
505168,0.9592,High,10,86.85757986111112,86.88299072916666,17,0.0,0.1588785046728972,15,1,1,0.0666666666666666,1.0,0.0627003993055555,0.0,0.0,1
769831,0.959,High,11,56.83989777777777,999.0,37,0.0,0.3457943925233644,37,0,0,0.0,0.0,1.6834207407407409,0.0,0.0,1
77212,0.9588,High,12,96.3570133449074,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0396219444444444,0.0,0.0,1
1077369,0.9588,High,13,95.21337155092591,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0299312191358024,0.0,0.0,1
678253,0.9587,High,14,66.88063797453704,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0387470987654321,0.0,0.0,1
296123,0.9584,High,15,69.47846719907407,999.0,32,0.0,0.2990654205607476,31,1,0,0.032258064516129,0.0,1.4845828046594982,0.0,0.0,1
41016,0.9582,High,16,91.21020814814815,91.21775827546296,17,0.0,0.1588785046728972,16,0,1,0.0,0.0,0.0314801215277777,0.0,0.0,1
485911,0.9581,High,17,90.48919832175926,999.0,41,0.0,0.3831775700934579,41,0,0,0.0,0.0,0.6061988333333334,0.0,0.0,1
730805,0.9581,High,18,72.31353065972222,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0410383179012345,0.0,0.0,1
217558,0.9579,High,19,94.12528364583332,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0264858055555555,0.0,0.0,1
875968,0.9579,High,20,89.00315001157408,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.036243375,0.0,0.0,1
1335923,0.9579,High,21,90.21618913194445,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0581364660493827,0.0,0.0,1
738760,0.9579,High,22,90.29984899305556,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0359211111111111,0.0,0.0,1
24390,0.9578,High,23,81.00052553240741,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0394025,0.0,0.0,1
1310372,0.9578,High,24,85.28746765046296,999.0,35,0.0,0.3271028037383177,35,0,0,0.0,0.0,2.101525024509804,0.0,0.0,1
296056,0.9577,High,25,68.07501359953703,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0524702777777777,0.0,0.0,1
145086,0.9577,High,26,61.96733103009259,999.0,20,0.0,0.1869158878504672,20,0,0,0.0,0.0,0.0303979385964912,0.0,0.0,1
1065672,0.9575,High,27,104.3077751851852,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0339178395061728,0.0,0.0,1
1221620,0.9575,High,28,90.084135625,999.0,37,0.0,0.3457943925233644,37,0,0,0.0,0.0,0.518914598765432,0.0,0.0,1
111221,0.9575,High,29,92.16824881944444,999.0,35,0.0,0.3271028037383177,35,0,0,0.0,0.0,1.9316209722222224,0.0,0.0,1
1309790,0.9575,High,30,62.84891737268519,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0313058194444444,0.0,0.0,1
1347875,0.9572,High,31,91.41908697916666,999.0,29,0.0,0.2710280373831775,28,1,0,0.0357142857142857,0.0,5.646995406746032,0.0,0.0,1
1244277,0.9572,High,32,59.34323108796296,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0167722530864197,0.0,0.0,1
742772,0.9572,High,33,68.47002357638888,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0273980277777777,0.0,0.0,1
1329939,0.9572,High,34,60.957318738425926,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.011659074074074,0.0,0.0,1
190273,0.9571,High,35,61.09567311342592,999.0,36,0.0,0.3364485981308411,36,0,0,0.0,0.0,0.0312723968253968,0.0,0.0,1
202903,0.9571,High,36,72.0556216550926,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0359340138888888,0.0,0.0,1
60581,0.957,High,37,66.45113373842592,999.0,27,0.0,0.2523364485981308,26,1,0,0.0384615384615384,0.0,0.4650899572649573,0.0,0.0,1
614407,0.9568,High,38,85.16822083333334,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0355659722222222,0.0,0.0,1
874620,0.9567,High,39,96.5649848263889,999.0,17,0.0,0.1588785046728972,17,0,0,0.0,0.0,0.0423790972222222,0.0,0.0,1
120367,0.9567,High,40,89.72793912037038,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0682846805555555,0.0,0.0,1
1041562,0.9567,High,41,98.20932736111112,98.22541599537035,17,0.0,0.1588785046728972,16,0,1,0.0,0.0,0.0433585243055555,0.0,0.0,1
1231618,0.9566,High,42,82.95237905092593,999.0,30,0.0,0.2803738317757009,30,0,0,0.0,0.0,0.3436203831417624,0.0,0.0,1
376649,0.9566,High,43,56.93304506944444,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0319256805555555,0.0,0.0,1
65223,0.9565,High,44,60.40492398148148,999.0,20,0.0,0.1869158878504672,19,1,0,0.0526315789473684,0.0,0.0412743421052631,0.0,0.0,1
2304,0.9565,High,45,97.0352233101852,999.0,21,0.0,0.1962616822429906,21,0,0,0.0,0.0,0.0605222222222222,0.0,0.0,1
362669,0.9564,High,46,96.4561668287037,999.0,19,0.0,0.1775700934579439,19,0,0,0.0,0.0,0.0258822839506172,0.0,0.0,1
1332475,0.9563,High,47,94.2830938425926,999.0,20,0.0,0.1869158878504672,20,0,0,0.0,0.0,0.0313684941520467,0.0,0.0,1
841595,0.9563,High,48,77.40046961805555,999.0,31,0.0,0.2897196261682243,30,1,0,0.0333333333333333,0.0,1.6030107592592593,1.0,0.0,1
175969,0.9563,High,49,89.45838349537037,999.0,20,0.0,0.1869158878504672,20,0,0,0.0,0.0,0.0344598976608187,0.0,0.0,1
1049414,0.9563,High,50,90.12802049768518,999.0,20,0.0,0.1869158878504672,20,0,0,0.0,0.0,0.0307700730994152,0.0,0.0,1
105019,0.9561,High,51,93.34589760416668,999.0,27,0.0,0.2523364485981308,27,0,0,0.0,0.0,0.7017128205128205,0.0,0.0,1
